name,team,position,injury_status,injured,total_gp,total_gs,total_min,total_mpg,total_fpts,total_favg,l30_gp,l30_gs,l30_min,l30_mpg,l30_fpts,l30_favg,l15_gp,l15_gs,l15_min,l15_mpg,l15_fpts,l15_favg,l7_gp,l7_gs,l7_min,l7_mpg,l7_fpts,l7_favg,total_gp_ratio,l30_gp_ratio,l15_gp_ratio,l7_gp_ratio,total_gs_ratio,l30_gs_ratio,l15_gs_ratio,l7_gs_ratio,total_min_ratio,l30_min_ratio,l15_min_ratio,l7_min_ratio,total_mpg_ratio,l30_mpg_ratio,l15_mpg_ratio,l7_mpg_ratio,total_fpts_ratio,l30_fpts_ratio,l15_fpts_ratio,l7_fpts_ratio,total_favg_ratio,l30_favg_ratio,l15_favg_ratio,l7_favg_ratio
Filip Petrusev,PHL,C,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balsa Koprivica,DET,C,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haywood Highsmith,MIA,SF,ACTIVE,False,4,0,42,10,26,6,4,0,42,10,26,6,1,0,3,3,0,0,0,0,0,0,0,0,0.09,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.05,0.12,0.02,0.0,0.28,0.28,0.07,0.0,0.04,0.09,0.0,0.0,0.22,0.19,0.0,0.0
Didi Louzada,NOP,SG,ACTIVE,False,2,0,7,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.11,0.0,0.0,0.0
Nicolo Melli,DAL,PF,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mason Jones,LAL,SG,ACTIVE,False,2,0,9,4,11,5,1,0,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.11,0.17,0.0,0.0,0.02,0.02,0.0,0.0,0.19,0.16,0.0,0.0
Nate Hinton,IND,SG,ACTIVE,False,2,0,3,1,-1,0,2,0,3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.03,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alen Smailagic,GSW,PF,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George King,DAL,SF,ACTIVE,False,4,0,19,4,8,2,4,0,19,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.11,0.11,0.0,0.0,0.01,0.03,0.0,0.0,0.07,0.06,0.0,0.0
Mario Chalmers,MIA,PG,ACTIVE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
