name,team,position,injury_status,injured,total_gp,total_gs,total_min,total_mpg,total_fpts,total_favg,l30_gp,l30_gs,l30_min,l30_mpg,l30_fpts,l30_favg,l15_gp,l15_gs,l15_min,l15_mpg,l15_fpts,l15_favg,l7_gp,l7_gs,l7_min,l7_mpg,l7_fpts,l7_favg,total_gp_ratio,l30_gp_ratio,l15_gp_ratio,l7_gp_ratio,total_gs_ratio,l30_gs_ratio,l15_gs_ratio,l7_gs_ratio,total_min_ratio,l30_min_ratio,l15_min_ratio,l7_min_ratio,total_mpg_ratio,l30_mpg_ratio,l15_mpg_ratio,l7_mpg_ratio,total_fpts_ratio,l30_fpts_ratio,l15_fpts_ratio,l7_fpts_ratio,total_favg_ratio,l30_favg_ratio,l15_favg_ratio,l7_favg_ratio
Carlik Jones,DEN,PG,ACTIVE,False,5,0,23,4,17,3,5,0,23,4,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.0,0.0,0.11,0.11,0.0,0.0,0.02,0.06,0.0,0.0,0.11,0.09,0.0,0.0
Nik Stauskas,MIA,SG,ACTIVE,False,2,0,24,12,21,10,2,0,24,12,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.33,0.33,0.0,0.0,0.03,0.07,0.0,0.0,0.37,0.31,0.0,0.0
Matt Mooney,NYK,SG,ACTIVE,False,1,0,2,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Williams,POR,PG,ACTIVE,False,2,0,12,6,17,8,2,0,12,6,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.17,0.17,0.0,0.0,0.02,0.06,0.0,0.0,0.3,0.25,0.0,0.0
Jaime Echenique,WAS,C,ACTIVE,False,1,0,3,3,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ Walker,PHO,SG,ACTIVE,False,2,0,9,4,5,2,2,0,9,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.11,0.11,0.0,0.0,0.01,0.02,0.0,0.0,0.07,0.06,0.0,0.0
Olivier Sarr,OKC,C,ACTIVE,False,2,0,14,7,17,8,2,0,14,7,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.0,0.19,0.19,0.0,0.0,0.02,0.06,0.0,0.0,0.3,0.25,0.0,0.0
Xavier Sneed,MEM,SF,ACTIVE,False,2,0,7,3,3,1,2,0,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.03,0.0,0.0
Jarron Cumberland,POR,SG,ACTIVE,False,3,0,12,4,10,3,3,0,12,4,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.11,0.11,0.0,0.0,0.01,0.03,0.0,0.0,0.11,0.09,0.0,0.0
Terry Taylor,IND,SG,ACTIVE,False,2,0,6,3,3,1,2,0,6,3,3,1,1,0,5,5,2,2,0,0,0,0,0,0,0.05,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.0,0.08,0.08,0.12,0.0,0.0,0.01,0.01,0.0,0.04,0.03,0.04,0.0
Jon Teske,MEM,C,ACTIVE,False,3,0,8,2,6,2,3,0,8,2,6,2,2,0,7,3,5,2,0,0,0,0,0,0,0.07,0.19,0.25,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.0,0.06,0.06,0.07,0.0,0.01,0.02,0.03,0.0,0.07,0.06,0.04,0.0
Javin DeLaurier,MIL,C,ACTIVE,False,1,0,3,3,2,2,1,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.07,0.06,0.0,0.0
Cameron McGriff,POR,SF,ACTIVE,False,3,0,47,15,54,18,3,0,47,15,54,18,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.14,0.0,0.0,0.42,0.42,0.0,0.0,0.08,0.18,0.0,0.0,0.67,0.56,0.0,0.0
Jaylen Hoard,OKC,SF,ACTIVE,False,1,0,2,2,4,4,1,0,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.06,0.06,0.0,0.0,0.01,0.01,0.0,0.0,0.15,0.12,0.0,0.0
